Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,lcsc part,jlc part,manufacturer
1,"Buzzer, polarized",Buzzer,BZ1,Buzzer,Buzzer_12x9.5RM7.6,1,~,C96491,,
2,Unpolarized capacitor,C,C1 C2 C3 C1001 C1002,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,5,~,C49678,,
3,Polarized capacitor,C_Polarized,C1003,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,~,C28323,,
4,,204-10SURD_S530-A3-L,D1001 D1002 D1003 D1004 D1005 D1006 D1007 D1008 D1009 D1010 D1011 D1012 D1013 D1014 D1015 D1016 D1017 D1018,"20mA 2V, Red",LED-TH_BD3.0-P2.54-FD,18,https://lcsc.com/product-detail/Light-Emitting-Diodes-LED_red_C99771.html,C99771,Extended Part,EVERLIGHT(亿光)
5,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x04_Male,J1001,Conn_01x04_Male,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,~,C2908602,,
6,"Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x06_Male,J2,Conn_01x06_Male,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,1,~,C2908604,,
7,"50V Vds, 0.22A Id, N-Channel MOSFET, SOT-23",BSS138,Q1,BSS138,SOT-23,1,https://www.onsemi.com/pub/Collateral/BSS138-D.PDF,C3040446,,
8,Resistor,R,R5 R10 R11 R12 R13 R14 R15 R16 R18 R19 R20 R21 R22 R23 R24 R25 R27 R28,150,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,18,~,C17471,,
9,Resistor,R,R1 R4,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,~,C17513,,
10,Resistor,R,R3 R6 R7 R8 R9 R17 R26 R29 R30,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,9,~,C17414,,
11,Resistor,R,R2,47k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,~,C17713,,
12,MEC 5G single pole normally-open tactile switch,SW_MEC_5G_1_1,SW1,SW_MEC_5G,KEY-SMD_4P-L6.0-W6.0-P3.90-LS9.0,1,,C2834928,,
13,MEC 5G single pole normally-open tactile switch,SW_MEC_5G_1_6,SW10,SW_MEC_5G,KEY-SMD_4P-L6.0-W6.0-P3.90-LS9.0,1,,C2834928,,
14,MEC 5G single pole normally-open tactile switch,SW_MEC_5G_1,SW11,SW_MEC_5G,KEY-SMD_4P-L6.0-W6.0-P3.90-LS9.0,1,,C2834928,,
15,MEC 5G single pole normally-open tactile switch,SW_MEC_5G_1_11,SW12,SW_MEC_5G,KEY-SMD_4P-L6.0-W6.0-P3.90-LS9.0,1,,C2834928,,
16,MEC 5G single pole normally-open tactile switch,SW_MEC_5G_1_8,SW13,SW_MEC_5G,KEY-SMD_4P-L6.0-W6.0-P3.90-LS9.0,1,,C2834928,,
17,MEC 5G single pole normally-open tactile switch,SW_MEC_5G_1_7,SW14,SW_MEC_5G,KEY-SMD_4P-L6.0-W6.0-P3.90-LS9.0,1,,C2834928,,
18,MEC 5G single pole normally-open tactile switch,SW_MEC_5G_1_2,SW2,SW_MEC_5G,KEY-SMD_4P-L6.0-W6.0-P3.90-LS9.0,1,,C2834928,,
19,MEC 5G single pole normally-open tactile switch,SW_MEC_5G_1_13,SW3,SW_MEC_5G,KEY-SMD_4P-L6.0-W6.0-P3.90-LS9.0,1,,C2834928,,
20,MEC 5G single pole normally-open tactile switch,SW_MEC_5G_1_12,SW4,SW_MEC_5G,KEY-SMD_4P-L6.0-W6.0-P3.90-LS9.0,1,,C2834928,,
21,MEC 5G single pole normally-open tactile switch,SW_MEC_5G_1_4,SW5,SW_MEC_5G,KEY-SMD_4P-L6.0-W6.0-P3.90-LS9.0,1,,C2834928,,
22,MEC 5G single pole normally-open tactile switch,SW_MEC_5G_1_3,SW6,SW_MEC_5G,KEY-SMD_4P-L6.0-W6.0-P3.90-LS9.0,1,,C2834928,,
23,MEC 5G single pole normally-open tactile switch,SW_MEC_5G_1_10,SW7,SW_MEC_5G,KEY-SMD_4P-L6.0-W6.0-P3.90-LS9.0,1,,C2834928,,
24,MEC 5G single pole normally-open tactile switch,SW_MEC_5G_1_9,SW8,SW_MEC_5G,KEY-SMD_4P-L6.0-W6.0-P3.90-LS9.0,1,,C2834928,,
25,MEC 5G single pole normally-open tactile switch,SW_MEC_5G_1_5,SW9,SW_MEC_5G,KEY-SMD_4P-L6.0-W6.0-P3.90-LS9.0,1,,C2834928,,
26,,RS0104YQ,U5,RS0104YQ,TSSOP-14_L5.0-W4.4-P0.65-LS6.4-BL,1,https://datasheet.lcsc.com/lcsc/2202251530_Jiangsu-RUNIC-Tech-RS0104YQ_C2762288.pdf,C2762288,Extended Part,RUNIC(润石)
27,,Raspberry-Pico,U1,Raspberry-Pico,RPi_Pico_SMD_TH,1,,,,
28,,TPIC6C596DRG4,U2 U3 U4,TPIC6C596DRG4,SOIC-16_L10.8-W4.5-P1.27-LS6.8-BL,3,https://lcsc.com/product-detail/Logic-ICs_TI_TPIC6C596DRG4_TPIC6C596DRG4_C130213.html,C130213,Extended Part,TI(德州仪器)
